programa - program
exemplo - id
; - simb_ponto_virgula
var - var
x - id
, - simb_virgula
y - id
: - simb_dois_pontos
inteiro - integer
; - simb_ponto_virgula
media - id
: - simb_dois_pontos
real - real
; - simb_ponto_virgula
ok - id
: - simb_dois_pontos
logico - boolean
; - simb_ponto_virgula
inicio - begin
leia - read
( - simb_abre_parentese
x - id
, - simb_virgula
y - id
) - simb_fecha_parentese
; - simb_ponto_virgula
media - id
:= - simb_atribuicao
( - simb_abre_parentese
x - id
+ - simb_mais
y - id
) - simb_fecha_parentese
/ - simb_divisao
2.0 - num_real
; - simb_ponto_virgula
ok - id
:= - simb_atribuicao
media - id
>= - simb_maior_igual
6.0 - num_real
; - simb_ponto_virgula
se - if
ok - id
entao - then
escreva - write
( - simb_abre_parentese
"aprovado" - cadeia
, - simb_virgula
media - id
) - simb_fecha_parentese
senao - else
escreva - write
( - simb_abre_parentese
"reprovado" - cadeia
, - simb_virgula
media - id
) - simb_fecha_parentese
fim - end
. - simb_ponto
