   1:1   PROGRAM            'programa'
   1:10  IDENTIFICADOR      'exemplo'
   1:17  PONTO_E_VIRGULA    ';'
   2:1   VAR                'var'
   3:3   IDENTIFICADOR      'x'
   3:4   VIRGULA            ','
   3:6   IDENTIFICADOR      'y'
   3:7   DOIS_PONTOS        ':'
   3:9   INTEGER            'inteiro'
   3:16  PONTO_E_VIRGULA    ';'
   4:3   IDENTIFICADOR      'media'
   4:8   DOIS_PONTOS        ':'
   4:10  REAL               'real'
   4:14  PONTO_E_VIRGULA    ';'
   5:3   IDENTIFICADOR      'ok'
   5:5   DOIS_PONTOS        ':'
   5:7   BOOLEAN            'logico'
   5:13  PONTO_E_VIRGULA    ';'
   6:1   BEGIN              'inicio'
   7:3   READ               'leia'
   7:7   ABRE_PARENTESE     '('
   7:8   IDENTIFICADOR      'x'
   7:9   VIRGULA            ','
   7:11  IDENTIFICADOR      'y'
   7:12  FECHA_PARENTESE    ')'
   7:13  PONTO_E_VIRGULA    ';'
   8:3   IDENTIFICADOR      'media'
   8:9   ATRIBUICAO         ':='
   8:12  ABRE_PARENTESE     '('
   8:13  IDENTIFICADOR      'x'
   8:15  MAIS               '+'
   8:17  IDENTIFICADOR      'y'
   8:18  FECHA_PARENTESE    ')'
   8:20  DIVISAO            '/'
   8:22  NUMERO_REAL        '2.0'
   8:25  PONTO_E_VIRGULA    ';'
   9:3   IDENTIFICADOR      'ok'
   9:6   ATRIBUICAO         ':='
   9:9   IDENTIFICADOR      'media'
   9:15  MAIOR_IGUAL        '>='
   9:18  NUMERO_REAL        '6.0'
   9:21  PONTO_E_VIRGULA    ';'
  10:3   IF                 'se'
  10:6   IDENTIFICADOR      'ok'
  10:9   THEN               'entao'
  11:5   WRITE              'escreva'
  11:12  ABRE_PARENTESE     '('
  11:13  CADEIA             '"aprovado"'
  11:23  VIRGULA            ','
  11:25  IDENTIFICADOR      'media'
  11:30  FECHA_PARENTESE    ')'
  12:3   ELSE               'senao'
  13:5   WRITE              'escreva'
  13:12  ABRE_PARENTESE     '('
  13:13  CADEIA             '"reprovado"'
  13:24  VIRGULA            ','
  13:26  IDENTIFICADOR      'media'
  13:31  FECHA_PARENTESE    ')'
  14:1   END                'fim'
  14:4   PONTO              '.'
  15:1   EOF                ''

Tabela de símbolos:
- exemplo (programa, tipo=None)
- x (variável, tipo=inteiro)
- y (variável, tipo=inteiro)
- media (variável, tipo=real)
- ok (variável, tipo=logico)
