programa - program
exemplo - id
; - simb_ponto_virgula
var - var
total - id
: - simb_dois_pontos
inteiro - integer
; - simb_ponto_virgula
media - id
: - simb_dois_pontos
real - real
; - simb_ponto_virgula
aprovado - id
: - simb_dois_pontos
booleano - boolean
; - simb_ponto_virgula
procedimento - procedure
calcula - id
( - simb_abre_parentese
a - id
, - simb_virgula
b - id
: - simb_dois_pontos
inteiro - integer
; - simb_ponto_virgula
mostrar - id
: - simb_dois_pontos
booleano - boolean
) - simb_fecha_parentese
; - simb_ponto_virgula
var - var
soma - id
: - simb_dois_pontos
inteiro - integer
; - simb_ponto_virgula
inicio - begin
soma - id
:= - simb_atribuicao
a - id
+ - simb_mais
b - id
; - simb_ponto_virgula
media - id
:= - simb_atribuicao
soma - id
/ - simb_divisao
2.0 - num_real
; - simb_ponto_virgula
aprovado - id
:= - simb_atribuicao
media - id
>= - simb_maior_igual
6.0 - num_real
; - simb_ponto_virgula
se - if
mostrar - id
entao - then
escreva - write
( - simb_abre_parentese
"media" - cadeia
, - simb_virgula
media - id
) - simb_fecha_parentese
senao - else
escreva - write
( - simb_abre_parentese
"oculto" - cadeia
) - simb_fecha_parentese
fim - end
; - simb_ponto_virgula
inicio - begin
leia - read
( - simb_abre_parentese
total - id
) - simb_fecha_parentese
; - simb_ponto_virgula
calcula - id
( - simb_abre_parentese
total - id
, - simb_virgula
8 - num_int
, - simb_virgula
verdadeiro - true
) - simb_fecha_parentese
; - simb_ponto_virgula
enquanto - while
aprovado - id
faca - do
inicio - begin
escreva - write
( - simb_abre_parentese
"aprovado" - cadeia
) - simb_fecha_parentese
; - simb_ponto_virgula
aprovado - id
:= - simb_atribuicao
falso - false
fim - end
fim - end
. - simb_ponto
