   1:1   PROGRAM            'programa'
   1:10  IDENTIFICADOR      'exemplo'
   1:17  PONTO_E_VIRGULA    ';'
   2:1   VAR                'var'
   3:3   IDENTIFICADOR      'total'
   3:8   DOIS_PONTOS        ':'
   3:10  INTEGER            'inteiro'
   3:17  PONTO_E_VIRGULA    ';'
   4:3   IDENTIFICADOR      'media'
   4:8   DOIS_PONTOS        ':'
   4:10  REAL               'real'
   4:14  PONTO_E_VIRGULA    ';'
   5:3   IDENTIFICADOR      'aprovado'
   5:11  DOIS_PONTOS        ':'
   5:13  BOOLEAN            'booleano'
   5:21  PONTO_E_VIRGULA    ';'
   7:1   PROCEDURE          'procedimento'
   7:14  IDENTIFICADOR      'calcula'
   7:21  ABRE_PARENTESE     '('
   7:22  IDENTIFICADOR      'a'
   7:23  VIRGULA            ','
   7:25  IDENTIFICADOR      'b'
   7:26  DOIS_PONTOS        ':'
   7:28  INTEGER            'inteiro'
   7:35  PONTO_E_VIRGULA    ';'
   7:37  IDENTIFICADOR      'mostrar'
   7:44  DOIS_PONTOS        ':'
   7:46  BOOLEAN            'booleano'
   7:54  FECHA_PARENTESE    ')'
   7:55  PONTO_E_VIRGULA    ';'
   8:1   VAR                'var'
   9:3   IDENTIFICADOR      'soma'
   9:7   DOIS_PONTOS        ':'
   9:9   INTEGER            'inteiro'
   9:16  PONTO_E_VIRGULA    ';'
  10:1   BEGIN              'inicio'
  11:3   IDENTIFICADOR      'soma'
  11:8   ATRIBUICAO         ':='
  11:11  IDENTIFICADOR      'a'
  11:13  MAIS               '+'
  11:15  IDENTIFICADOR      'b'
  11:16  PONTO_E_VIRGULA    ';'
  12:3   IDENTIFICADOR      'media'
  12:9   ATRIBUICAO         ':='
  12:12  IDENTIFICADOR      'soma'
  12:17  DIVISAO            '/'
  12:19  NUMERO_REAL        '2.0'
  12:22  PONTO_E_VIRGULA    ';'
  13:3   IDENTIFICADOR      'aprovado'
  13:12  ATRIBUICAO         ':='
  13:15  IDENTIFICADOR      'media'
  13:21  MAIOR_IGUAL        '>='
  13:24  NUMERO_REAL        '6.0'
  13:27  PONTO_E_VIRGULA    ';'
  14:3   IF                 'se'
  14:6   IDENTIFICADOR      'mostrar'
  14:14  THEN               'entao'
  15:5   WRITE              'escreva'
  15:12  ABRE_PARENTESE     '('
  15:13  CADEIA             '"media"'
  15:20  VIRGULA            ','
  15:22  IDENTIFICADOR      'media'
  15:27  FECHA_PARENTESE    ')'
  16:3   ELSE               'senao'
  17:5   WRITE              'escreva'
  17:12  ABRE_PARENTESE     '('
  17:13  CADEIA             '"oculto"'
  17:21  FECHA_PARENTESE    ')'
  18:1   END                'fim'
  18:4   PONTO_E_VIRGULA    ';'
  20:1   BEGIN              'inicio'
  21:3   READ               'leia'
  21:7   ABRE_PARENTESE     '('
  21:8   IDENTIFICADOR      'total'
  21:13  FECHA_PARENTESE    ')'
  21:14  PONTO_E_VIRGULA    ';'
  22:3   IDENTIFICADOR      'calcula'
  22:10  ABRE_PARENTESE     '('
  22:11  IDENTIFICADOR      'total'
  22:16  VIRGULA            ','
  22:18  NUMERO_INTEIRO     '8'
  22:19  VIRGULA            ','
  22:21  TRUE               'verdadeiro'
  22:31  FECHA_PARENTESE    ')'
  22:32  PONTO_E_VIRGULA    ';'
  23:3   WHILE              'enquanto'
  23:12  IDENTIFICADOR      'aprovado'
  23:21  DO                 'faca'
  24:3   BEGIN              'inicio'
  25:5   WRITE              'escreva'
  25:12  ABRE_PARENTESE     '('
  25:13  CADEIA             '"aprovado"'
  25:23  FECHA_PARENTESE    ')'
  25:24  PONTO_E_VIRGULA    ';'
  26:5   IDENTIFICADOR      'aprovado'
  26:14  ATRIBUICAO         ':='
  26:17  FALSE              'falso'
  27:3   END                'fim'
  28:1   END                'fim'
  28:4   PONTO              '.'
  29:1   EOF                ''
